document_figure_id,source_figure_id,location,evidence_role,headline_evidence,assumption_status,permitted_claim,main_limitation,source_paths
Figure 1,Figure_arch_etl_pipeline,body,methodological architecture,Four governed layers; 29 publication figures registered.,audited controls,"The pipeline separates source, canonical, verified, and serving responsibilities.",Lineage and layer controls do not establish that every source is substantively correct.,data/reference/data_lineage.csv;data/gold/figures/figure_manifest.csv
Figure 2,Figure_arch_rag_pipeline,body,platform audit,"893 corpus records; 7 top-k queries and 27 ranked positions; 54 nodes, 26 edges, 0 dangling.",built,"The report invokes top-k retrieval and preserves ranked hits, citations, and lineage for structural traceability.",Traceability does not validate the economic truth or completeness of a retrieved claim.,data/serving/ai/rag_corpus.csv;data/serving/ai/vector_store/index_status.json;outputs/ai_reports/retrieval_audit.json;data/serving/ai/evidence_graph.json
Figure 3,Figure_arch_ai_report_structure,body,report orchestration audit,7 retrieval queries feed a report with registered evidence sections and post-composition controls.,generated from validated report,The diagram documents how retrieved and verified evidence is organized into the latest report.,A complete section map does not establish retrieval completeness or substantive validity.,data/gold/figures/Figure_arch_ai_report_structure.svg;outputs/ai_reports/latest_verified_decision_support_report.md;outputs/ai_reports/retrieval_audit.json
Figure 4,Figure_ai_report_excerpt,body,rendered report artifact,"The excerpt preserves empirical findings, retrieved citation IDs, and the report's interpretation boundary.",source-faithful 300 DPI render,The screenshot demonstrates the visible report structure and traceable evidence presentation.,"A screenshot cannot prove that retrieved evidence is complete, economically correct, or causally identified.",outputs/ai_reports/Figure_ai_report_excerpt.png;outputs/ai_reports/ai_report_render_manifest.json;outputs/ai_reports/latest_verified_decision_support_report.md;outputs/ai_reports/citation_validation.json
Figure 5,Figure01_sample_and_market_coverage,body,descriptive,158 registered firms; model samples depend on market and covariate availability.,material_concern,The figure documents sample composition and usable market coverage.,Treatment status is strongly associated with firm size and other baseline attributes.,data/gold/analytical/fact_exposure_score.csv;data/silver/fact_market_monthly.csv;data/gold/scoreboards/assumption_scoreboard.csv
Figure 6,Figure04_python_r_did_validation,body,computational replication,Estimate -0.0064258186992673105; SE 0.00766496003968605; p=0.4018415275004231; Python and R agree to numerical precision.,material_concerns,Stable non-significant association; not a strong causal estimate because pretrends and overlap fail diagnostics.,"Computational replication does not validate parallel trends, overlap, or treatment measurement.",data/gold/statistical/verified/fact_verified_estimate.csv;data/gold/statistical/verified/fact_python_r_comparison.csv;data/gold/scoreboards/scoreboard.csv
Figure 7,Figure05_event_study_forest,body,short_window_association,After Holm adjustment: 1 significant negative and 0 significant positive comparisons.,concurrent-news and cross-firm-dependence risks,One corrected negative window is a localized event association.,Concurrent news and cross-firm dependence remain possible.,data/gold/statistical/python/event_study_summary.csv;data/gold/scoreboards/scoreboard.csv;data/gold/scoreboards/assumption_scoreboard.csv
Figure 8,Figure09_scm_placebo_distribution,body,complementary_proxy_evidence,Post-period mean gap 0.008089874159280317; placebo p=0.28.,no-spillover and donor-validity assumptions untestable,Complete-case SCM; placebo inference is not significant at 5%.,"Donor validity, spillovers, and proxy treatment remain partly untestable.",data/gold/statistical/python/scm.json;data/gold/scoreboards/scoreboard.csv;data/gold/scoreboards/assumption_scoreboard.csv
Figure 9,Figure12_did_dynamic_pretrend_diagnostic,body,assumption diagnostic,Joint annual pretrend p=6.39485e-06,concern,Pre-period differences materially weaken causal interpretation of the binary DiD.,A diagnostic rejection identifies design risk but does not reveal the omitted causal process.,data/gold/statistical/python/did_assumption_diagnostics.json;data/gold/scoreboards/assumption_scoreboard.csv
Figure 10,Figure18_exposure_event_study,body,main_model,0 Holm-significant event-window estimates; exposure is a pre-policy proxy.,conditional event exogeneity remains untestable,The estimates describe conditional associations with a constructed pre-policy proxy.,"Concurrent firm news, measurement error, and residual confounding remain possible.",data/gold/statistical/python/exposure_event_study.csv;data/gold/scoreboards/scoreboard.csv;data/gold/scoreboards/assumption_scoreboard.csv
Figure 11,Figure22_modern_method_applicability_matrix,body,design_diagnostic,"Bacon, CS DiD, SA DiD, gsynth, HonestDiD, and GRF are reported with explicit data-condition boundaries.",0 methods currently applicable,Current data conditions do not support a causal upgrade using the six modern estimators.,"Non-applicability is a statement about current inputs, not proof that the methods can never be used.",data/gold/analytical/fact_modern_method_applicability.csv;data/gold/scoreboards/scoreboard.csv
Figure A1,Figure13_did_baseline_covariate_balance,annex,assumption diagnostic,Firm-size common-support share=0.029; max |SMD|=3.788,material_concern,Observed baseline covariates show material group imbalance.,Treatment status is strongly associated with firm size and other baseline attributes.,data/gold/statistical/python/did_baseline_balance.csv;data/gold/scoreboards/assumption_scoreboard.csv
Figure A2,Figure19_propensity_common_support,annex,assumption diagnostic,Common-support share=0.000; weighted max |SMD|=4.304,concern,The propensity ranges do not provide a usable common-support sample.,Balance on observed covariates does not establish balance on unobserved determinants.,data/gold/statistical/python/fact_covariate_balance.csv;data/gold/scoreboards/assumption_scoreboard.csv
Figure A3,Figure20_weighted_covariate_balance,annex,assumption diagnostic,Common-support share=0.000; weighted max |SMD|=4.304,concern,Weighting does not achieve acceptable balance on observed covariates.,Balance on observed covariates does not establish balance on unobserved determinants.,data/gold/statistical/python/weighted_did_balance.csv;data/gold/scoreboards/assumption_scoreboard.csv
Figure A4,Figure21_weighted_did_pretrend,annex,assumption diagnostic,Weighted joint annual pretrend p=0.263239,not_rejected_but_not_proven,"The weighted pretrend test is not rejected, but this cannot rescue failed overlap.",A pretrend test has limited power and cannot prove the identifying assumption.,data/gold/statistical/python/weighted_did_dynamic.csv;data/gold/scoreboards/assumption_scoreboard.csv
Figure A5,Figure23_treatment_timing_cohort_support,annex,design diagnostic,One proxy cohort; no validated firm-jurisdiction staggered exposure.,not applicable,Uniform proxy timing cannot identify staggered treatment effects.,Actual firm-jurisdiction exposure and multiple cohorts are absent.,data/gold/analytical/fact_modern_method_applicability.csv;data/gold/scoreboards/scoreboard.csv
Figure A6,Figure24_gsynth_balanced_panel_attrition,annex,design diagnostic,Balanced-panel attrition is disclosed before gsynth interpretation.,not applicable,The chart documents retained support rather than an ATT.,The interactive fixed-effect output is unstable under the current proxy design.,data/gold/analytical/fact_modern_method_applicability.csv;data/gold/statistical/r_validation/r_gsynth_att.csv
Figure A7,Figure26_grf_sample_and_covariate_support,annex,heterogeneity diagnostic,Restricted common-support firms: 0; covariates are incomplete for some firms.,not applicable,The chart documents why causal heterogeneity is not identified.,"Treatment measurement, overlap, sample size, and unobserved confounding remain inadequate.",data/gold/analytical/fact_modern_method_applicability.csv;data/gold/statistical/r_validation/r_grf_blp.csv
Figure A8,Figure27_restricted_sample_did_comparison,annex,diagnostic sensitivity,Common-support restricted result is diagnostic only and is not promoted to the main causal estimate.,not_estimated,No restricted-sample causal estimate is promoted.,"The overlap rule retains no firms, so a separate-firm effect cannot be estimated.",data/gold/statistical/python/restricted_sample_did.json;data/gold/scoreboards/scoreboard.csv
Figure A9,Figure28_event_confound_screen,annex,event diagnostic,"fact_event_confound_screen.csv flags high-volatility [-3,+3] trading-day windows without deleting events.",diagnostic_only,Volatility flags inform interpretation without deleting registered events.,"High-volatility flags support discussion of confounding risk, not event exclusion.",data/gold/analytical/fact_event_confound_screen.csv;data/gold/scoreboards/assumption_scoreboard.csv
Figure A10,Figure29_cbcr_low_tax_context,annex,context,Jurisdiction adoption context is not converted into firm-level staggered exposure without geographic revenue/profit splits.,not firm-level treatment,CbCR describes jurisdiction context only.,Aggregate CbCR cannot create firm-level treatment without geographic revenue or profit shares.,data/gold/analytical/fact_jurisdiction_policy_timing.csv;data/gold/scoreboards/scoreboard.csv
