analysis,evidence_role,estimate,std_error,p_value,assumption_status,interpretation
Continuous exposure-intensity event study,main_model,,,0.9906906378806883,conditional event exogeneity remains untestable,0 Holm-significant event-window estimates; exposure is a pre-policy proxy.
Overlap-weighted monthly-return DiD,supplementary_validation,0.0008338373668358512,0.01650509307737885,0.9597080089409027,failed,Supplementary estimate after overlap weighting; common-support failure prevents a strong causal interpretation.
Monthly-return DiD,legacy_binary_sensitivity,-0.0064258186992673105,0.00766496003968605,0.4018415275004231,material_concerns,Stable non-significant association; not a strong causal estimate because pretrends and overlap fail diagnostics.
DiD robustness specifications,robustness,-0.020851670368688,,0.0236821458259373,5 specifications; none significant at 5%,Direction and magnitude vary when group trends and baseline-covariate interactions are added.
Event study,short_window_association,,,,concurrent-news and cross-firm-dependence risks,After Holm adjustment: 1 significant negative and 0 significant positive comparisons.
SCM,complementary_proxy_evidence,0.008089874159280317,,0.28,no-spillover and donor-validity assumptions untestable,Complete-case SCM; placebo inference is not significant at 5%.
Revenue DiD,exploratory_only,0.022571293180974002,0.06296735397275999,0.7199989131694653,insufficient pre-periods,Not formal causal evidence.
R independent replication,computational_replication,-0.006425818699267,0.007664960039686,0.4018415275004,material_concerns,computationally_replicated
Bacon decomposition,not_applicable_diagnostic,,,,No staggered firm-jurisdiction treatment timing; revenue-threshold proxy has uniform timing.,Use as a diagnostic showing why TWFE bad-comparison decomposition cannot identify the design.
Callaway and Sant'Anna DiD,not_applicable_diagnostic,,,,Missing firm-jurisdiction revenue/profit exposure needed for staggered cohorts.,Report as not applicable until jurisdiction adoption can be linked to firm geographic exposure.
Sun and Abraham event study,not_applicable_diagnostic,,,,Missing firm-jurisdiction revenue/profit exposure needed for staggered cohorts.,Do not interpret SA coefficients as causal ATT without geographic exposure timing.
Generalized synthetic control,not_applicable_diagnostic,,,,Interactive fixed-effect estimator did not produce stable ATT under current proxy design.,Keep as a diagnostic for sample support and avoid upgrading failed gsynth output to evidence.
HonestDiD sensitivity,not_applicable_diagnostic,,,,Required valid pre-period event-study coefficients are not credible under failed timing design.,Use only to explain sensitivity-data requirements; do not present bounds as causal.
GRF BLP/RATE,not_applicable_diagnostic,,,,Treatment proxy and overlap limitations make causal heterogeneity interpretation unsupported.,"Frame as heterogeneity diagnostic, not as proof of firm-level causal effect variation."
Restricted overlap-sample DiD,diagnostic_sensitivity,,,,not_estimated,Common-support restricted result is diagnostic only and is not promoted to the main causal estimate.
Modern method applicability matrix,design_diagnostic,,,,0 methods currently applicable,"Bacon, CS DiD, SA DiD, gsynth, HonestDiD, and GRF are reported with explicit data-condition boundaries."
Jurisdiction policy timing context,context_only,,,,not firm-level treatment,Jurisdiction adoption context is not converted into firm-level staggered exposure without geographic revenue/profit splits.
