model_id,term,estimate,std_error,ci_low,ci_high,p_value,nobs
market_did,DiD,-0.0064258186992673105,0.00766496003968605,-0.02144886431999067,0.00859722692145605,0.4018415275004231,5022.0
weighted_did,DiD,0.0008338373668358512,0.01650509307737885,-0.03151555062630806,0.03318322535997976,0.9597080089409027,2788.0
revenue_mechanism,DiD,0.022571293180974002,0.06296735397275999,-0.10084245280742066,0.14598503916936867,0.7199989131694653,285.0
scm,post_mean_gap,0.008089874159280317,,,,0.28,
exposure_event_study,pillar_two_exposure_intensity,0.0017096055770854,0.0288969773721799,-0.0549274293344561,0.058346640488627,0.9528230044950242,71.0
exposure_event_study,pillar_two_exposure_intensity,0.0250751845550188,0.0386617930705953,-0.0507005374410882,0.100850906551126,0.51661124406067,71.0
exposure_event_study,pillar_two_exposure_intensity,-0.0535069805398187,0.0587259663155625,-0.1686077594756336,0.0615937983959962,0.3622269633087899,71.0
exposure_event_study,pillar_two_exposure_intensity,-0.0537566867931865,0.0309651997260088,-0.1144473630302533,0.0069339894438803,0.082557553156724,71.0
exposure_event_study,pillar_two_exposure_intensity,-0.0184029183137923,0.0359331306076562,-0.0888305601565724,0.0520247235289877,0.6085506009072512,71.0
exposure_event_study,pillar_two_exposure_intensity,0.0135709203645531,0.0452251989310356,-0.0750688407339359,0.1022106814630423,0.7641204743848391,71.0
exposure_event_study,pillar_two_exposure_intensity,0.0055788231191933,0.0212061959814221,-0.035984557253492,0.0471422034918788,0.7924926594629881,71.0
exposure_event_study,pillar_two_exposure_intensity,0.0149384284762275,0.0403680960030407,-0.0641815858141877,0.0940584427666428,0.7113412759132247,71.0
exposure_event_study,pillar_two_exposure_intensity,0.044617403812853,0.0429579150477714,-0.0395785625317103,0.1288133701574163,0.2989765824884096,71.0
exposure_event_study,pillar_two_exposure_intensity,0.0377562935108088,0.0315418336989522,-0.0240645645454894,0.099577151567107,0.2312976752663458,71.0
exposure_event_study,pillar_two_exposure_intensity,0.0170241329478886,0.0327916004559024,-0.0472462229411073,0.0812944888368847,0.6036481995072172,71.0
exposure_event_study,pillar_two_exposure_intensity,0.0315197626440368,0.0428643897806999,-0.0524928975454218,0.1155324228334954,0.4621344096245008,71.0
