Ticker,pillar_two_four_year_scope_proxy,propensity_score,in_common_support,overlap_weight
ABNB,1,0.9593450218653686,False,0.04065497813463137
ADBE,1,0.9871171666630734,False,0.012882833336926636
ADI,1,0.957950338755405,False,0.04204966124459497
AGYS,0,0.02256999232536521,False,0.02256999232536521
AMAT,1,0.9906046475130985,False,0.009395352486901487
AMD,1,0.9518310285245992,False,0.04816897147540078
ASYS,0,0.016298591475267105,False,0.016298591475267105
ATEN,0,0.1291388565113501,False,0.1291388565113501
AUDC,0,0.11934376467261608,False,0.11934376467261608
AVGO,1,0.993883793260656,False,0.006116206739343988
BAND,0,0.2260473398539538,False,0.2260473398539538
CHKP,1,0.8356268833184678,False,0.1643731166815322
CIEN,1,0.8851856079727454,False,0.11481439202725463
CSCO,1,0.9979607005593768,False,0.002039299440623199
DGII,0,0.07937435505423712,False,0.07937435505423712
FORM,0,0.22327826298072906,False,0.22327826298072906
FTNT,1,0.950973416367265,False,0.049026583632735043
IBM,1,0.997510274723471,False,0.00248972527652902
INTC,1,0.99608354264951,False,0.003916457350489955
INTU,1,0.9729849628927492,False,0.02701503710725084
KLAC,1,0.9713550323783671,False,0.028644967621632933
LOGI,1,0.8842999032723758,False,0.11570009672762416
LRCX,1,0.9843917693054589,False,0.015608230694541092
MCHP,1,0.9567927223224466,False,0.04320727767755339
META,1,0.9989288244336434,False,0.001071175566356608
MITK,0,0.03403771841113419,False,0.03403771841113419
MSFT,1,0.9996077966485634,False,0.0003922033514366374
MSI,1,0.9835461088559374,False,0.016453891144062593
MU,1,0.987583705205154,False,0.012416294794845961
NOW,1,0.9741385660420454,False,0.025861433957954594
NXPI,1,0.9849364689784017,False,0.015063531021598298
ORCL,1,0.999038009350996,False,0.0009619906490040409
QCOM,1,0.9954815512042777,False,0.004518448795722274
SNPS,1,0.870423457839467,False,0.12957654216053305
SPSC,0,0.1963749861275106,False,0.1963749861275106
STM,1,0.9720266763374105,False,0.027973323662589533
TEL,1,0.9766648763743776,False,0.0233351236256224
TXN,1,0.9848685159896761,False,0.015131484010323937
VNT,1,0.9524880996969521,False,0.04751190030304786
