output_file,output_path,source_data,transform_script,downstream_consumers,sha256
market_did.json,data/gold/statistical/python/,['data/silver/fact_market_monthly.csv'],src/oecd_pillar_two/analysis/did.py,"['scoreboard.csv', 'verified_model_results.json', 'ai_reports']",1908dd087a6c
scm.json,data/gold/statistical/python/,['data/silver/fact_market_monthly.csv'],src/oecd_pillar_two/analysis/scm.py,"['scoreboard.csv', 'verified_model_results.json']",099dd92ed701
event_study.json,data/gold/statistical/python/,['data/gold/analytical/fact_event_firm_car.csv'],src/oecd_pillar_two/analysis/event_study.py,"['scoreboard.csv', 'verified_model_results.json']",1685595ce5a8
exposure_event_study.json,data/gold/statistical/python/,"['data/gold/analytical/fact_exposure_score.csv', 'data/gold/analytical/fact_event_firm_car.csv']",src/oecd_pillar_two/analysis/exposure.py,"['scoreboard.csv', 'verified_model_results.json']",cce4f1a4a83c
weighted_did.json,data/gold/statistical/python/,"['data/gold/analytical/fact_exposure_score.csv', 'data/silver/fact_market_monthly.csv']",src/oecd_pillar_two/analysis/exposure.py,"['scoreboard.csv', 'verified_model_results.json']",5825c492baa0
revenue_mechanism.json,data/gold/statistical/python/,['data/silver/fact_firm_financial_year.csv'],src/oecd_pillar_two/analysis/did.py,"['scoreboard.csv', 'verified_model_results.json']",e17e17c6c289
fact_overlap_restricted_sample.csv,data/gold/analytical/,['data/gold/analytical/fact_exposure_score.csv'],src/oecd_pillar_two/cleaning/design_remediation.py,"['restricted_sample_did.json', 'scoreboard.csv', 'ai_reports']",e08c60ff870d
fact_event_confound_screen.csv,data/gold/analytical/,"['data/reference/policy_events.csv', 'data/silver/fact_market_daily.csv']",src/oecd_pillar_two/cleaning/design_remediation.py,"['figure_manifest.csv', 'scoreboard.csv', 'ai_reports']",ce0281bfacd0
fact_modern_method_applicability.csv,data/gold/analytical/,"['data/silver/fact_market_monthly.csv', 'data/gold/analytical/fact_overlap_restricted_sample.csv']",src/oecd_pillar_two/cleaning/design_remediation.py,"['figure_manifest.csv', 'scoreboard.csv', 'ai_reports']",4f8cb182a510
fact_jurisdiction_policy_timing.csv,data/gold/analytical/,"['data/reference/pillar_two_jurisdiction_adoption.csv', 'data/silver/fact_cbcr_jurisdiction_year.csv']",src/oecd_pillar_two/cleaning/design_remediation.py,"['figure_manifest.csv', 'scoreboard.csv', 'ai_reports']",fdc5f969f367
restricted_sample_did.json,data/gold/statistical/python/,"['data/gold/analytical/fact_overlap_restricted_sample.csv', 'data/silver/fact_market_monthly.csv']",src/oecd_pillar_two/cleaning/design_remediation.py,"['scoreboard.csv', 'ai_reports']",2cfc635fd477
r_02b_bacon_decomposition.R_results,data/gold/statistical/r_validation/,['data/silver/fact_market_monthly.csv'],analysis/r/02b_bacon_decomposition.R,"['r_validation_results.json', 'scoreboard.csv']",
r_02c_cs_did.R_results,data/gold/statistical/r_validation/,['data/silver/fact_market_monthly.csv'],analysis/r/02c_cs_did.R,"['r_validation_results.json', 'scoreboard.csv']",
r_02d_sa_did.R_results,data/gold/statistical/r_validation/,['data/silver/fact_market_monthly.csv'],analysis/r/02d_sa_did.R,"['r_validation_results.json', 'scoreboard.csv']",
r_02e_honest_did.R_results,data/gold/statistical/r_validation/,['data/silver/fact_market_monthly.csv'],analysis/r/02e_honest_did.R,"['r_validation_results.json', 'scoreboard.csv']",
r_04b_gsynth.R_results,data/gold/statistical/r_validation/,['data/silver/fact_market_monthly.csv'],analysis/r/04b_gsynth.R,"['r_validation_results.json', 'scoreboard.csv']",
r_05_validate_heterogeneity.R_results,data/gold/statistical/r_validation/,['data/silver/fact_market_monthly.csv'],analysis/r/05_validate_heterogeneity.R,"['r_validation_results.json', 'scoreboard.csv']",
scoreboard.csv,data/gold/scoreboards/,"['data/gold/statistical/python/*.json', 'data/gold/statistical/r_validation/*.json']",src/oecd_pillar_two/reporting/scoreboard.py,"['ai_reports', 'verified_model_results.json']",ae6bad50b1b1
verified_model_results.json,data/gold/statistical/verified/,"['data/gold/statistical/python/python_model_results.json', 'data/gold/statistical/r_validation/r_validation_results.json']",src/oecd_pillar_two/validation/results.py,"['ai_reports', 'citation_registry.csv']",287bb10b7121
figure_manifest.csv,data/gold/figures/,"['data/gold/statistical/*/*.csv', 'data/gold/statistical/*/*.json']",src/oecd_pillar_two/reporting/figures.py,"['ai_reports', 'citation_registry.csv']",e70807ed8d85
latest_verified_decision_support_report.md,outputs/ai_reports/,"['data/gold/statistical/verified/verified_model_results.json', 'data/serving/ai/rag_corpus.csv', 'data/serving/ai/citation_registry.csv']",src/oecd_pillar_two/reporting/report.py,['end_user'],c4f58845b458
